Citation;Taxa studied;Biome;Realm;Country;Latitude (dec °);Longitude (dec °);Elev. (masl);RG sites;OG sites;Repl. data?;Author;Year;reference
Purata (1986);Plants;Broadleaf;NT;Mexico;18.582;-95.105;450;25;1;no;Purata;1986;Purata, S. E. 1986. Floristic and structural changes during old-field succession in the Mexican tropics in relation to site history and species availability. Journal of Tropical Ecology 2:257–276.
Quintero and Roslin (2005);Beetles;Broadleaf;NT;Brazil;-2.417;-59.833;100;3;3;yes;Quintero and Roslin ;2005;Quintero, I., and T. Roslin. 2005. Rapid recovery of dung beetle communities following habitat fragmentation in central Amazonia. Ecology 86:3303–3311.
Raman (2001);Birds;Broadleaf;IM;India;23.566;92.388;500;10;2;yes;Raman;2001;Raman, T. R. S. 2001. Effect of Slash-and-Burn Shifting Cultivation on Rainforest Birds in Mizoram, Northeast India. Conservation Biology 15:685–698.
Renner et al. (2006);Birds;Broadleaf;IM;Guatemala;15.383;-90.067;2250;6;6;no;Renner;2006;Renner, S. C., M. Waltert, and M. Mühlenberg. 2006. Comparison of bird communities in primary vs. young secondary tropical montane cloud forest in Guatemala. Biodiversity and Conservation 15:1545–1575.
Roth et al. (1994);Ants;Broadleaf;NT;Costa Rica;10.403;-84.021;400;2;2;yes;Roth;1994;Roth, D. S., I. Perfecto, and B. Rathcke. 1994. The Effects of Management Systems on Ground-Foraging Ant Diversity in Costa Rica. Ecological Applications 4:423–436.
Sáfián et al. (2010);Butterflies;Broadleaf;AT;Ghana;5.360;-1.369;180;4;3;yes;Sáfián;2010;Sáfián, S., G. Csontos, and D. Winkler. 2010. Butterfly community recovery in degraded rainforest habitats in the Upper Guinean Forest Zone (Kakum forest, Ghana). Journal of Insect Conservation.
Sarmiento et al. (2003);Plants;Broadleaf;NT;Venezuela;8.581;-70.700;900;115;8;no;Sarmiento;2003;Sarmiento, L., L. D. Llambí, A. Escalona, and N. Marquez. 2003. Vegetation patterns, regeneration rates and divergence in an old-field succession of the high tropical Andes. Plant Ecology 166:145–156.
Schonberg et al. (2004);Ants;Broadleaf;NT;Costa Rica;10.333;-84.750;1450;1;1;no;Schonberg;2004;Schonberg, L. A., J. T. Longino, N. M. Nadkarni, S. P. Yanoviak, and J. C. Gering. 2004. Arboreal Ant Species Richness in Primary Forest, Secondary Forest, and Pasture Habitats of a Tropical Montane Landscape. Biotropica 36:402–409.
Selmants and Knight (2003);Plants;Conifer;NA;United States;41.000;-106.000;2900;30;24;no;Selmants and Knight;2003;Selmants, P. C., and D. H. Knight. 2003. Understory plant species composition 30-50 years after clearcutting in southeastern Wyoming coniferous forests. Forest Ecology and Management 185:275–289.
Shahabuddin et al (2005);Beetles;Broadleaf;IM;Indonesia;-1.422;120.324;1150;4;4;no;Shahabuddin et al;2005;Shahabuddin, C. H. Schulze, and T. Tscharntke. 2005. Changes of dung beetle communities from rainforests towards agroforestry systems and annual cultures in Sulawesi (Indonesia). Biodiversity and Conservation 14:863–877.
Silva et al. (2007);Ants;Broadleaf;NT;Brazil;-27.018;-49.017;575;5;1;no;Silva;2007;Silva, R. R., R. S. Machado Feitosa, and F. Eberhardt. 2007. Reduced ant diversity along a habitat regeneration gradient in the southern Brazilian Atlantic Forest. Forest Ecology and Management 240:61–69.
Sodhi et al. (2005);Birds;Broadleaf;IM;Indonesia;-1.107;120.128;1100;100;100;no;Sodh;2005;Sodhi, N. S., L. P. Koh, D. M. Prawiradilaga, Darjono, I. Tinulele, D. D. Putra, and T. H. Tong Tan. 2005. Land use and conservation value for forest birds in Central Sulawesi (Indonesia). Biological Conservation 122:547–558.
Sorensen and Fedigan (2000);Large mammals;Broadleaf;NT;Costa Rica;10.833;-85.650;150;11;2;yes;Sorensen and Fedigan;2000;Sorensen, T. C., and L. M. Fedigan. 2000. Distribution of three monkey species along a gradient of regenerating tropical dry forest. Biological Conservation 92:227–240.
Stark et al. (2006);Plants;Conifer;NA;Canada;50.700;-120.300;900;21;10;yes;Stark;2006;Stark, K. E., A. Arsenault, and G. E. Bradfield. 2006. Soil seed banks and plant community assembly following disturbance by fire and logging in interior Douglas-fir forests of south-central British Columbia. Canadian Journal of Botany 84:1548–1560.
Stenbacka et al. (2010);Beetles;Conifer;PA;Sweden;63.830;18.295;330;27;18;yes;Stenbacka;2010;Stenbacka, F., J. Hjalten, J. Hilszcza ski, and M. Dynesius. 2010. Saproxylic and non-saproxylic beetle assemblages in boreal spruce forests of different age and forestry intensity. Ecological Applications.
Vallan (2002);Amphibians;Broadleaf;AT;Madagascar;-18.954;48.522;900;2;4;yes;Valla;2002;Vallan, D. 2002. Effects of Anthropogenic Environmental Changes on Amphibian Diversity in the Rain Forests of Eastern Madagascar. Journal of Tropical Ecology 18:725–742.
Vasconcelos (1999);Ants;Broadleaf;NT;Brazil;-2.417;-59.833;80;3;2;yes;Vasconcelos;1999;Vasconcelos, H. L. 1999. Effects of forest disturbance on the structure of ground-foraging ant communities in central Amazonia. Biodiversity and Conservation 8:407–418.
Veddeler et al. (2005);Butterflies;Broadleaf;IM;Indonesia;-1.209;120.142;1100;24;4;no;Veddeler;2005;Veddeler, D., C. H. Schulze, I. Steffan-Dewenter, D. Buchori, and T. Tscharntke. 2005. The Contribution of Tropical Secondary Forest Fragments to the Conservation of Fruit-feeding Butterflies: Effects of Isolation and Age. Biodiversity and Conservation 14:3577–3592.
Waltert et al. (2005);Butterflies;Broadleaf;IM;Indonesia;-1.209;120.142;1000;3;2;yes;Waltert;2005;Waltert, M., A. Mardiastuti, and M. Muehlenberg. 2005. Effects of deforestation and forest modification on understorey birds in Central Sulawesi, Indonesia. Bird conservation international 15:257–273.
Wijesinghe and Brooke (2005);NVSM and birds;Broadleaf;IM;Sri Lanka;6.350;80.350;200;40;20;no;Wijesinghe and Brooke;2005;Wijesinghe, M. R., and M. de L. Brooke. 2005. Impact of Habitat Disturbance on the Distribution of Endemic Species of Small Mammals and Birds in a Tropical Rain Forest in Sri Lanka. Journal of Tropical Ecology 21:661–668.
Willett (2001);Spiders;Broadleaf;NA;United States;37.100;-122.130;520;2;1;no;Willett;2001;Willett, T. R. 2001. Spiders and Other Arthropods as Indicators in Old-Growth Versus Logged Redwood Stands. Restoration Ecology 9:410–420.
Wu et al. (1996);NVSM;Broadleaf;IM;China;22.025;100.871;700;6;7;yes;Wu;1996;Wu, D.-L., J. Luo, and B. J. Fox. 1996. A Comparison of Ground-Dwelling Small Mammal Communities in Primary and Secondary Tropical Rainforests in China. Journal of Tropical Ecology 12:215–230. 
