"id_comm";"id_study"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p247_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p249_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p250_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p253_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p257_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p258_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p25_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p260_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p26_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p27_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p28_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p2_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p306_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p31_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p32_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p33_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p35_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p37_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p38_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p41_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p42_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p439_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p43_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p45_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p460_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p461_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p463_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p46_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p510_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p512_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p513_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p518_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p52_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p55_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
"Baeten et al. 2010a_Ancient and post agricultural forests_Belgium_p58_NA";"PR_Baeten et al. 2010a_Ancient and post agricultural forests_Belgium"
